PMID,Title,Journal,Year
40541584,Untargeted metabolomics reveals the mechanisms of luteolin and exercise combination treatment against cognitive impairments in AD mice through modulating autophagy.,The Journal of nutritional biochemistry,2025
40504752,Therapeutic Role of l-Theanine in Mitigating Cognitive Dysfunction and Neuropathology in Scopolamine-Treated Mice.,ACS chemical neuroscience,2025
40317721,Increased burden of rare risk variants across gene expression networks predisposes to sporadic Parkinson's disease.,Cell reports,2025
40285786,The effects of lysosomal dysfunction on cytoplasmic vacuolation and amyloid-beta 40 (Ass40) level in human brain endothelial cells (HBEC-5i).,"Cellular and molecular biology (Noisy-le-Grand, France)",2025
40164781,APOE4 impairs autophagy and Abeta clearance by microglial cells.,Inflammation research : official journal of the European Histamine Research Society ... [et al.],2025
40135197,(-)-Epicatechin Rescues Memory Deficits by Activation of Autophagy in a Mouse Model of Tauopathies.,MedComm,2025
40032030,Astragalin actives autophagy and inhibits apoptosis of astrocytes in AD mice via down-regulating Fas/Fasl-VDAC1 pathway.,Free radical biology & medicine,2025
39936620,Heat-shock chaperone HSPB1 mitigates poly-glycine-induced neurodegeneration via restoration of autophagic flux.,Autophagy,2025
39690116,Porphyromonas gingivalis outer membrane vesicles increase vascular permeability by inducing stress fiber formation and degrading vascular endothelial-cadherin in endothelial cells.,The FEBS journal,2025
39635882,Upregulation of ISG15 induced by MAPT/tau accumulation represses autophagic flux by inhibiting HDAC6 activity: a vicious cycle in Alzheimer disease.,Autophagy,2025
39171951,BIN1 deficiency enhances ULK3-dependent autophagic flux and reduces dendritic size in mouse hippocampal neurons.,Autophagy,2025
39053426,Therapeutic effect of nicotinamide mononucleotide on Alzheimer's disease through activating autophagy and anti-oxidative stress.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2024
38869076,CCDC50 mediates the clearance of protein aggregates to prevent cellular proteotoxicity.,Autophagy,2024
38850660,"Exploring the molecular mechanisms of MSC-derived exosomes in Alzheimer's disease: Autophagy, insulin and the PI3K/Akt/mTOR signaling pathway.",Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2024
38628727,Inhibition of autophagosome-lysosome fusion contributes to TDCIPP-induced Abeta1-42 production in N2a-APPswe cells.,Heliyon,2024
38582153,Kai-Xin-San ameliorates Alzheimer's disease-related neuropathology and cognitive impairment in APP/PS1 mice via the mitochondrial autophagy-NLRP3 inflammasome pathway.,Journal of ethnopharmacology,2024
38564092,Autophagy and exosomes; inter-connected maestros in Alzheimer's disease.,Inflammopharmacology,2024
38427475,Impact of Suramin on Key Pathological Features of Sporadic Alzheimer's Disease-Derived Forebrain Neurons.,Journal of Alzheimer's disease : JAD,2024
38009729,TRIM22 facilitates autophagosome-lysosome fusion by mediating the association of GABARAPs and PLEKHM1.,Autophagy,2024
37890595,The environmental enrichment ameliorates chronic cerebral hypoperfusion-induced cognitive impairment by activating autophagy signaling pathway and improving synaptic function in hippocampus.,Brain research bulletin,2023
